name,MOS,CI_MIN,CI_MAX
tastyFood_qpqt_L02,4.50,4.47,4.54
tastyFood_qpqt_L03,4.49,4.46,4.52
tastyFood_qpqt_L04,4.45,4.42,4.48
tastyFood_qpqt_L05,4.16,4.13,4.20
tastyFood_qpqt_L06,3.82,3.77,3.87
tastyFood_qpqtJPEG_L01,4.22,4.18,4.26
tastyFood_qpqtJPEG_L02,3.74,3.68,3.80
tastyFood_qpqtJPEG_L03,2.16,2.11,2.21
tastyFood_qpqtJPEG_L04,3.98,3.94,4.03
tastyFood_qpqtJPEG_L05,3.73,3.67,3.80
tastyFood_qpqtJPEG_L06,2.05,1.99,2.10
tastyFood_qpqtJPEG_L07,3.58,3.51,3.64
tastyFood_qpqtJPEG_L08,3.38,3.33,3.43
tastyFood_qpqtJPEG_L09,1.90,1.84,1.95
tastyFood_simp_L01,4.36,4.32,4.40
tastyFood_simp_L02,4.43,4.39,4.47
tastyFood_simp_L03,3.91,3.86,3.96
tastyFood_simp_L04,3.44,3.37,3.50
tastyFood_simp_L05,1.99,1.95,2.03
tastyFood_simpNoTex_L01,4.43,4.40,4.46
tastyFood_simpNoTex_L02,4.35,4.31,4.38
tastyFood_simpNoTex_L03,4.33,4.28,4.39
tastyFood_simpNoTex_L04,3.84,3.79,3.89
vase_ds_L01,4.03,3.98,4.08
vase_ds_L02,3.58,3.53,3.64
vase_ds_L03,2.82,2.76,2.87
vase_ds_L04,2.25,2.21,2.30
vase_ds_L05,1.44,1.41,1.47
vase_gn_L01,4.15,4.11,4.18
vase_gn_L02,4.12,4.09,4.15
vase_gn_L03,3.76,3.69,3.83
vase_gn_L04,3.44,3.38,3.50
vase_gn_L05,2.87,2.79,2.94
vase_JPEG_L01,4.09,4.06,4.11
vase_JPEG_L02,3.93,3.88,3.97
vase_JPEG_L03,3.78,3.73,3.83
vase_JPEG_L04,3.47,3.41,3.52
vase_JPEG_L05,2.12,2.07,2.18
vase_JPEG_L06,1.40,1.37,1.43
vase_qp_L01,4.16,4.12,4.20
vase_qp_L02,4.24,4.21,4.27
vase_qp_L03,4.34,4.32,4.36
vase_qp_L04,4.20,4.16,4.24
vase_qp_L05,3.82,3.76,3.88
vase_qpqt_L01,4.31,4.26,4.35
vase_qpqt_L02,4.20,4.16,4.24
vase_qpqt_L03,4.28,4.25,4.31
vase_qpqt_L04,4.07,4.04,4.11
vase_qpqt_L05,3.91,3.86,3.96
vase_qpqt_L06,3.78,3.73,3.83
vase_qpqtJPEG_L01,3.91,3.86,3.95
vase_qpqtJPEG_L02,3.09,3.04,3.14
vase_qpqtJPEG_L03,1.40,1.38,1.42
vase_qpqtJPEG_L04,3.95,3.89,4.00
vase_qpqtJPEG_L05,3.09,3.02,3.15
vase_qpqtJPEG_L06,1.32,1.29,1.35
vase_qpqtJPEG_L07,3.78,3.72,3.85
vase_qpqtJPEG_L08,3.02,2.97,3.07
vase_qpqtJPEG_L09,1.44,1.41,1.46
vase_simp_L01,4.27,4.24,4.31
vase_simp_L02,3.98,3.94,4.02
vase_simp_L03,3.76,3.68,3.83
vase_simp_L04,3.65,3.59,3.71
vase_simp_L05,2.93,2.86,2.99
vase_simpNoTex_L01,4.16,4.11,4.21
vase_simpNoTex_L02,3.74,3.67,3.80
vase_simpNoTex_L03,3.30,3.23,3.38
vase_simpNoTex_L04,2.53,2.49,2.58
vaso_ds_L01,3.74,3.69,3.79
vaso_ds_L02,3.48,3.41,3.55
vaso_ds_L03,2.68,2.62,2.74
vaso_ds_L04,2.05,1.99,2.12
vaso_ds_L05,1.24,1.21,1.26
vaso_gn_L01,3.57,3.53,3.62
vaso_gn_L02,2.60,2.55,2.65
vaso_gn_L03,2.44,2.39,2.48
vaso_gn_L04,2.09,2.04,2.14
vaso_gn_L05,1.88,1.83,1.92
vaso_JPEG_L01,4.22,4.18,4.26
vaso_JPEG_L02,3.87,3.83,3.91
vaso_JPEG_L03,3.65,3.60,3.70
vaso_JPEG_L04,3.13,3.07,3.20
vaso_JPEG_L05,2.69,2.62,2.76
vaso_JPEG_L06,1.54,1.50,1.58
vaso_qp_L01,4.40,4.37,4.43
vaso_qp_L02,4.36,4.33,4.39
vaso_qp_L03,4.33,4.30,4.35
vaso_qp_L04,4.20,4.18,4.22
vaso_qp_L05,3.65,3.60,3.70
vaso_qpqt_L01,4.39,4.35,4.43
vaso_qpqt_L02,4.38,4.34,4.42
vaso_qpqt_L03,4.36,4.33,4.40
vaso_qpqt_L04,4.28,4.24,4.33
vaso_qpqt_L05,4.22,4.20,4.24
vaso_qpqt_L06,3.80,3.73,3.87
vaso_qpqtJPEG_L01,4.05,4.00,4.09
vaso_qpqtJPEG_L02,3.45,3.39,3.52
vaso_qpqtJPEG_L03,1.75,1.70,1.80
vaso_qpqtJPEG_L04,3.97,3.91,4.03
vaso_qpqtJPEG_L05,3.29,3.22,3.36
vaso_qpqtJPEG_L06,1.63,1.59,1.67
vaso_qpqtJPEG_L07,3.44,3.38,3.49
vaso_qpqtJPEG_L08,2.87,2.82,2.91
vaso_qpqtJPEG_L09,1.71,1.68,1.74
vaso_simp_L01,4.30,4.26,4.33
vaso_simp_L02,4.24,4.20,4.28
vaso_simp_L03,4.00,3.95,4.05
vaso_simp_L04,3.32,3.27,3.38
vaso_simp_L05,3.14,3.08,3.20
vaso_simpNoTex_L01,4.20,4.18,4.22
vaso_simpNoTex_L02,4.05,4.03,4.08
vaso_simpNoTex_L03,3.54,3.47,3.61
vaso_simpNoTex_L04,3.02,2.94,3.11
violin_ds_L01,4.16,4.11,4.21
violin_ds_L02,4.07,4.02,4.12
violin_ds_L03,3.93,3.89,3.97
violin_ds_L04,3.29,3.21,3.37
violin_ds_L05,2.40,2.35,2.45
violin_gn_L01,3.94,3.89,3.99
violin_gn_L02,3.89,3.85,3.93
violin_gn_L03,3.70,3.66,3.74
violin_gn_L04,3.10,3.04,3.15
violin_gn_L05,2.86,2.80,2.92
violin_JPEG_L01,3.96,3.93,4.00
violin_JPEG_L02,3.90,3.85,3.94
violin_JPEG_L03,3.73,3.68,3.77
violin_JPEG_L04,2.93,2.86,3.00
violin_JPEG_L05,2.16,2.11,2.21
violin_JPEG_L06,1.63,1.58,1.68
violin_qp_L01,4.01,3.98,4.04
violin_qp_L02,3.99,3.95,4.03
violin_qp_L03,3.67,3.62,3.72
violin_qp_L04,2.60,2.55,2.65
violin_qp_L05,1.58,1.55,1.61
violin_qpqt_L01,4.22,4.18,4.26
violin_qpqt_L02,4.30,4.25,4.34
violin_qpqt_L03,4.20,4.17,4.23
violin_qpqt_L04,3.78,3.73,3.83
violin_qpqt_L05,2.38,2.34,2.43
violin_qpqt_L06,1.51,1.47,1.55
violin_qpqtJPEG_L01,3.96,3.91,4.01
violin_qpqtJPEG_L02,3.15,3.07,3.23
violin_qpqtJPEG_L03,1.53,1.50,1.57
violin_qpqtJPEG_L04,3.50,3.44,3.56
violin_qpqtJPEG_L05,3.02,2.96,3.08
violin_qpqtJPEG_L06,1.53,1.49,1.58
violin_qpqtJPEG_L07,1.69,1.64,1.73
violin_qpqtJPEG_L08,1.69,1.64,1.75
violin_qpqtJPEG_L09,1.23,1.21,1.25
violin_simp_L01,3.84,3.78,3.90
violin_simp_L02,3.82,3.77,3.87
violin_simp_L03,2.98,2.91,3.05
violin_simp_L04,2.55,2.49,2.60
violin_simp_L05,1.60,1.55,1.65
violin_simpNoTex_L01,4.14,4.11,4.17
violin_simpNoTex_L02,3.69,3.60,3.79
violin_simpNoTex_L03,3.08,3.00,3.17
violin_simpNoTex_L04,2.54,2.46,2.63
wareBowl_ds_L01,3.32,3.28,3.37
wareBowl_ds_L02,3.08,3.02,3.13
wareBowl_ds_L03,2.22,2.17,2.28
wareBowl_ds_L04,1.64,1.60,1.69
wareBowl_ds_L05,1.04,1.03,1.05
wareBowl_gn_L01,3.06,3.00,3.11
wareBowl_gn_L02,2.53,2.47,2.59
wareBowl_gn_L03,2.18,2.11,2.26
wareBowl_gn_L04,2.00,1.95,2.05
wareBowl_gn_L05,1.55,1.50,1.61
wareBowl_JPEG_L01,4.18,4.13,4.23
wareBowl_JPEG_L02,4.08,4.04,4.12
wareBowl_JPEG_L03,3.75,3.70,3.79
wareBowl_JPEG_L04,2.90,2.83,2.98
wareBowl_JPEG_L05,1.93,1.87,2.00
wareBowl_JPEG_L06,1.45,1.41,1.49
wareBowl_qp_L01,4.34,4.31,4.37
wareBowl_qp_L02,4.33,4.30,4.36
wareBowl_qp_L03,4.28,4.24,4.31
wareBowl_qp_L04,4.28,4.24,4.32
wareBowl_qp_L05,3.21,3.15,3.27
wareBowl_qpqt_L01,4.40,4.36,4.44
wareBowl_qpqt_L02,4.32,4.28,4.36
wareBowl_qpqt_L03,4.25,4.22,4.29
wareBowl_qpqt_L04,4.26,4.21,4.30
wareBowl_qpqt_L05,3.98,3.94,4.02
wareBowl_qpqt_L06,3.11,3.04,3.17
wareBowl_qpqtJPEG_L01,3.95,3.89,4.01
wareBowl_qpqtJPEG_L02,2.89,2.83,2.95
wareBowl_qpqtJPEG_L03,1.25,1.22,1.27
wareBowl_qpqtJPEG_L04,3.89,3.85,3.93
wareBowl_qpqtJPEG_L05,2.98,2.93,3.03
wareBowl_qpqtJPEG_L06,1.29,1.26,1.31
wareBowl_qpqtJPEG_L07,3.02,2.98,3.06
wareBowl_qpqtJPEG_L08,2.72,2.65,2.79
wareBowl_qpqtJPEG_L09,1.32,1.30,1.34
wareBowl_simp_L01,4.30,4.27,4.33
wareBowl_simp_L02,4.24,4.21,4.27
wareBowl_simp_L03,4.09,4.05,4.14
wareBowl_simp_L04,4.05,4.01,4.09
wareBowl_simp_L05,2.98,2.94,3.02
wareBowl_simpNoTex_L01,4.05,4.00,4.10
wareBowl_simpNoTex_L02,2.50,2.43,2.58
wareBowl_simpNoTex_L03,2.31,2.23,2.39
wareBowl_simpNoTex_L04,1.70,1.63,1.78
waterBuffalo_ds_L01,3.99,3.94,4.04
waterBuffalo_ds_L02,3.38,3.30,3.46
waterBuffalo_ds_L03,2.49,2.42,2.56
waterBuffalo_ds_L04,1.85,1.81,1.90
waterBuffalo_ds_L05,1.27,1.23,1.32
waterBuffalo_gn_L01,4.07,4.03,4.10
waterBuffalo_gn_L02,3.44,3.39,3.49
waterBuffalo_gn_L03,3.13,3.08,3.18
waterBuffalo_gn_L04,2.81,2.74,2.88
waterBuffalo_gn_L05,2.71,2.65,2.77
waterBuffalo_JPEG_L01,4.30,4.26,4.34
waterBuffalo_JPEG_L02,4.24,4.20,4.28
waterBuffalo_JPEG_L03,4.12,4.06,4.17
waterBuffalo_JPEG_L04,3.02,2.96,3.08
waterBuffalo_JPEG_L05,2.31,2.26,2.37
waterBuffalo_JPEG_L06,1.53,1.48,1.57
waterBuffalo_qp_L01,4.40,4.37,4.43
waterBuffalo_qp_L02,4.33,4.31,4.36
waterBuffalo_qp_L03,4.18,4.15,4.21
waterBuffalo_qp_L04,4.07,4.03,4.11
waterBuffalo_qp_L05,3.51,3.46,3.55
waterBuffalo_qpqt_L01,4.38,4.35,4.41
waterBuffalo_qpqt_L02,4.32,4.29,4.35
waterBuffalo_qpqt_L03,4.35,4.31,4.39
waterBuffalo_qpqt_L04,4.30,4.26,4.34
waterBuffalo_qpqt_L05,4.16,4.13,4.19
waterBuffalo_qpqt_L06,3.24,3.16,3.32
waterBuffalo_qpqtJPEG_L01,4.16,4.11,4.21
waterBuffalo_qpqtJPEG_L02,3.24,3.17,3.30
waterBuffalo_qpqtJPEG_L03,1.38,1.35,1.41
waterBuffalo_qpqtJPEG_L04,4.18,4.15,4.21
waterBuffalo_qpqtJPEG_L05,3.00,2.95,3.05
waterBuffalo_qpqtJPEG_L06,1.40,1.37,1.43
waterBuffalo_qpqtJPEG_L07,3.27,3.20,3.34
waterBuffalo_qpqtJPEG_L08,2.77,2.71,2.83
waterBuffalo_qpqtJPEG_L09,1.42,1.39,1.45
waterBuffalo_simp_L01,4.04,4.00,4.07
waterBuffalo_simp_L02,3.99,3.96,4.02
waterBuffalo_simp_L03,3.80,3.75,3.85
waterBuffalo_simp_L04,3.64,3.57,3.71
waterBuffalo_simp_L05,3.16,3.10,3.22
waterBuffalo_simpNoTex_L01,4.20,4.16,4.24
waterBuffalo_simpNoTex_L02,3.40,3.33,3.47
waterBuffalo_simpNoTex_L03,3.07,3.00,3.14
waterBuffalo_simpNoTex_L04,2.44,2.38,2.49
watermelon_ds_L01,4.09,4.05,4.12
watermelon_ds_L02,3.89,3.85,3.93
watermelon_ds_L03,3.29,3.24,3.35
watermelon_ds_L04,2.84,2.79,2.89
watermelon_ds_L05,1.40,1.37,1.43
watermelon_gn_L01,4.16,4.10,4.22
watermelon_gn_L02,3.61,3.54,3.68
watermelon_gn_L03,3.26,3.18,3.34
watermelon_gn_L04,2.36,2.31,2.42
watermelon_gn_L05,2.22,2.16,2.28
watermelon_JPEG_L01,4.38,4.35,4.41
watermelon_JPEG_L02,4.34,4.31,4.37
watermelon_JPEG_L03,4.26,4.23,4.30
watermelon_JPEG_L04,4.28,4.25,4.31
watermelon_JPEG_L05,4.05,4.00,4.11
watermelon_JPEG_L06,2.77,2.71,2.83
watermelon_qp_L01,4.45,4.41,4.48
watermelon_qp_L02,4.35,4.31,4.39
watermelon_qp_L03,4.38,4.34,4.42
watermelon_qp_L04,4.26,4.23,4.30
watermelon_qp_L05,4.18,4.13,4.23
watermelon_qpqt_L01,4.41,4.38,4.44
watermelon_qpqt_L02,4.35,4.31,4.38
watermelon_qpqt_L03,4.35,4.31,4.38
watermelon_qpqt_L04,4.29,4.26,4.32
watermelon_qpqt_L05,4.27,4.24,4.30
watermelon_qpqt_L06,3.87,3.82,3.93
watermelon_qpqtJPEG_L01,4.31,4.26,4.35
watermelon_qpqtJPEG_L02,4.09,4.05,4.13
watermelon_qpqtJPEG_L03,2.70,2.63,2.76
watermelon_qpqtJPEG_L04,4.18,4.12,4.23
watermelon_qpqtJPEG_L05,3.97,3.94,3.99
watermelon_qpqtJPEG_L06,2.91,2.86,2.96
watermelon_qpqtJPEG_L07,3.98,3.93,4.03
watermelon_qpqtJPEG_L08,3.66,3.59,3.73
watermelon_qpqtJPEG_L09,2.76,2.70,2.83
watermelon_simp_L01,4.53,4.51,4.55
watermelon_simp_L02,3.95,3.89,4.01
watermelon_simp_L03,4.25,4.22,4.29
watermelon_simp_L04,3.68,3.63,3.73
watermelon_simp_L05,2.77,2.72,2.82
watermelon_simpNoTex_L01,4.18,4.14,4.22
watermelon_simpNoTex_L02,3.94,3.89,3.99
watermelon_simpNoTex_L03,3.27,3.22,3.32
watermelon_simpNoTex_L04,2.68,2.63,2.72
winterGirl_ds_L01,3.72,3.66,3.78
winterGirl_ds_L02,3.50,3.43,3.56
winterGirl_ds_L03,3.22,3.16,3.28
winterGirl_ds_L04,2.62,2.54,2.70
winterGirl_ds_L05,1.56,1.52,1.61
winterGirl_gn_L01,3.62,3.55,3.69
winterGirl_gn_L02,2.38,2.33,2.43
winterGirl_gn_L03,2.16,2.10,2.23
winterGirl_gn_L04,1.65,1.59,1.70
winterGirl_gn_L05,1.50,1.45,1.54
winterGirl_JPEG_L01,4.24,4.20,4.29
winterGirl_JPEG_L02,4.24,4.20,4.28
winterGirl_JPEG_L03,3.88,3.82,3.95
winterGirl_JPEG_L04,3.27,3.20,3.33
winterGirl_JPEG_L05,2.31,2.27,2.36
winterGirl_JPEG_L06,1.76,1.72,1.81
winterGirl_qp_L01,4.41,4.38,4.44
winterGirl_qp_L02,4.33,4.30,4.36
winterGirl_qp_L03,4.24,4.21,4.26
winterGirl_qp_L04,3.84,3.79,3.89
winterGirl_qp_L05,2.34,2.27,2.41
winterGirl_qpqt_L01,4.41,4.37,4.45
winterGirl_qpqt_L02,4.38,4.35,4.41
winterGirl_qpqt_L03,4.37,4.34,4.41
winterGirl_qpqt_L04,4.25,4.21,4.29
winterGirl_qpqt_L05,3.69,3.63,3.75
winterGirl_qpqt_L06,2.20,2.17,2.23
winterGirl_qpqtJPEG_L01,4.03,3.99,4.07
winterGirl_qpqtJPEG_L02,3.64,3.57,3.70
winterGirl_qpqtJPEG_L03,1.70,1.66,1.75
winterGirl_qpqtJPEG_L04,4.16,4.11,4.21
winterGirl_qpqtJPEG_L05,3.48,3.42,3.53
winterGirl_qpqtJPEG_L06,2.01,1.96,2.06
winterGirl_qpqtJPEG_L07,2.10,2.04,2.17
winterGirl_qpqtJPEG_L08,1.69,1.64,1.73
winterGirl_qpqtJPEG_L09,1.65,1.61,1.70
winterGirl_simp_L01,4.32,4.29,4.35
winterGirl_simp_L02,4.31,4.28,4.35
winterGirl_simp_L03,3.99,3.93,4.05
winterGirl_simp_L04,3.82,3.76,3.88
winterGirl_simp_L05,1.88,1.80,1.95
winterGirl_simpNoTex_L01,4.26,4.21,4.30
winterGirl_simpNoTex_L02,4.03,3.99,4.07
winterGirl_simpNoTex_L03,3.95,3.89,4.01
winterGirl_simpNoTex_L04,3.84,3.79,3.89
zakopaneChair_ds_L01,4.15,4.11,4.18
zakopaneChair_ds_L02,3.50,3.43,3.56
zakopaneChair_ds_L03,3.35,3.28,3.41
zakopaneChair_ds_L04,2.24,2.18,2.31
zakopaneChair_ds_L05,1.75,1.71,1.79
zakopaneChair_gn_L01,4.01,3.97,4.05
zakopaneChair_gn_L02,3.69,3.62,3.77
zakopaneChair_gn_L03,3.22,3.17,3.27
zakopaneChair_gn_L04,2.77,2.72,2.82
zakopaneChair_gn_L05,2.52,2.47,2.58
zakopaneChair_JPEG_L01,4.26,4.22,4.29
zakopaneChair_JPEG_L02,4.14,4.09,4.19
zakopaneChair_JPEG_L03,4.10,4.06,4.15
zakopaneChair_JPEG_L04,4.02,3.98,4.06
zakopaneChair_JPEG_L05,2.76,2.72,2.81
zakopaneChair_JPEG_L06,2.07,2.01,2.12
zakopaneChair_qp_L01,4.40,4.36,4.44
zakopaneChair_qp_L02,4.37,4.34,4.40
zakopaneChair_qp_L03,4.38,4.35,4.42
zakopaneChair_qp_L04,3.97,3.93,4.01
zakopaneChair_qp_L05,3.52,3.47,3.57
zakopaneChair_qpqt_L01,4.47,4.44,4.50
zakopaneChair_qpqt_L02,4.34,4.30,4.38
zakopaneChair_qpqt_L03,4.34,4.31,4.37
zakopaneChair_qpqt_L04,4.30,4.26,4.34
zakopaneChair_qpqt_L05,4.25,4.22,4.29
zakopaneChair_qpqt_L06,3.17,3.11,3.24
zakopaneChair_qpqtJPEG_L01,4.24,4.19,4.28
zakopaneChair_qpqtJPEG_L02,3.88,3.82,3.94
zakopaneChair_qpqtJPEG_L03,2.16,2.10,2.21
zakopaneChair_qpqtJPEG_L04,4.14,4.09,4.20
zakopaneChair_qpqtJPEG_L05,4.26,4.23,4.29
zakopaneChair_qpqtJPEG_L06,2.16,2.12,2.20
zakopaneChair_qpqtJPEG_L07,3.48,3.43,3.53
zakopaneChair_qpqtJPEG_L08,2.87,2.83,2.92
zakopaneChair_qpqtJPEG_L09,1.72,1.69,1.75
zakopaneChair_simp_L01,4.35,4.30,4.39
zakopaneChair_simp_L02,4.26,4.21,4.30
zakopaneChair_simp_L03,3.91,3.87,3.96
zakopaneChair_simp_L04,3.78,3.73,3.84
zakopaneChair_simp_L05,1.90,1.84,1.96
zakopaneChair_simpNoTex_L01,4.39,4.35,4.43
zakopaneChair_simpNoTex_L02,3.80,3.75,3.85
zakopaneChair_simpNoTex_L03,2.90,2.84,2.97
zakopaneChair_simpNoTex_L04,2.58,2.52,2.64
